anime_id,theme_Love Polygon,theme_Gag Humor,genre_Suspense,source_Light novel,theme_Adult Cast,genre_Supernatural,genre_Mystery,studio_DLE,duration,theme_Parody,studio_Production I.G,rating_Rx - Hentai,source_Web manga,theme_Military,genre_Adventure,studio_MAPPA,theme_Time Travel,genre_Horror,genre_Drama,studio_Bandai Namco Pictures,studio_Shaft,rating_R+ - Mild Nudity,theme_Music,studio_CloverWorks,source_Manga,anime_type_ONA,anime_type_TV,theme_School,studio_ufotable,theme_Historical,rating_PG-13 - Teens 13 or older,source_Unknown,anime_type_OVA,studio_Madhouse,source_Original,genre_Hentai,genre_Action,studio_Kyoto Animation,studio_Bones,genre_Romance,theme_Samurai,genre_Award Winning,rating_G - All Ages,rating_R - 17+ (violence & profanity),theme_Psychological,genre_Avant Garde,studio_Kinema Citrus,score
1,0,0,0,0,1,0,0,0,24.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,8.75
5,0,0,0,0,1,0,0,0,115.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,8.38
6,0,0,0,0,1,0,0,0,24.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,8.22
7,0,0,0,0,0,1,1,0,25.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,7.24
8,0,0,0,0,0,0,0,0,23.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.92
15,0,0,0,0,0,0,0,0,23.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.91
16,1,0,0,0,1,0,0,0,23.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7.98
17,0,0,0,0,0,0,0,0,23.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.54
18,0,0,0,0,0,0,0,0,27.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8.17
19,0,0,1,0,1,0,1,0,24.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,8.88
20,0,0,0,0,0,0,0,0,23.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8.01
22,0,0,0,0,0,0,0,0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.85
23,0,0,0,0,0,0,0,0,23.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.36
24,1,1,0,0,0,0,0,0,23.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7.88
25,0,0,0,0,0,0,0,0,24.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,7.36
26,0,0,1,0,1,0,1,0,23.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,7.76
27,0,0,0,1,0,0,0,0,24.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,7.28
