Max genre per year
|   year | genre.max   |   amount |
|-------:|:------------|---------:|
|   1970 | Sports      |       12 |
|   1971 | Comedy      |        7 |
|   1972 | Adventure   |        8 |
|   1973 | Adventure   |       10 |
|   1974 | Adventure   |       10 |
|   1975 | Adventure   |       12 |
|   1976 | Action      |       13 |
|   1977 | Drama       |       11 |
|   1978 | Adventure   |       20 |
|   1979 | Adventure   |       25 |
|   1980 | Adventure   |       24 |
|   1981 | Sci-Fi      |       28 |
|   1982 | Sci-Fi      |       31 |
|   1983 | Action      |       29 |
|   1984 | Sci-Fi      |       30 |
|   1985 | Sci-Fi      |       37 |
|   1986 | Action      |       45 |
|   1987 | Sci-Fi      |       46 |
|   1988 | Comedy      |       49 |
|   1989 | Action      |       52 |
|   1990 | Comedy      |       60 |
|   1991 | Comedy      |       53 |
|   1992 | Comedy      |       53 |
|   1993 | Fantasy     |       50 |
|   1994 | Comedy      |       59 |
|   1995 | Comedy      |       65 |
|   1996 | Comedy      |       64 |
|   1997 | Comedy      |       69 |
|   1998 | Comedy      |       72 |
|   1999 | Comedy      |       99 |
|   2000 | Comedy      |       71 |
|   2001 | Comedy      |       93 |
|   2002 | Comedy      |      110 |
|   2003 | Comedy      |      110 |
|   2004 | Comedy      |      132 |
|   2005 | Comedy      |      117 |
|   2006 | Comedy      |      159 |
|   2007 | Comedy      |      134 |
|   2008 | Comedy      |      160 |
|   2009 | Comedy      |      177 |
|   2010 | Comedy      |      179 |
|   2011 | Comedy      |      207 |
|   2012 | Comedy      |      227 |
|   2013 | Comedy      |      238 |
|   2014 | Comedy      |      270 |
|   2015 | Comedy      |      237 |
|   2016 | Comedy      |      249 |
|   2017 | Comedy      |      220 |
|   2018 | Comedy      |      211 |
|   2019 | Comedy      |      201 |
|   2020 | Comedy      |      172 |
|   2021 | Fantasy     |      198 |
|   2022 | Fantasy     |      216 |
|   2023 | Fantasy     |      249 |
|   2024 | Fantasy     |      194 |

Max studio per year
|   year | studio.max       |   amount |
|-------:|:-----------------|---------:|
|   1970 | Toei Animation   |        5 |
|   1971 | Toei Animation   |        6 |
|   1972 | Toei Animation   |        5 |
|   1973 | Toei Animation   |        8 |
|   1974 | Toei Animation   |        6 |
|   1975 | Toei Animation   |        9 |
|   1976 | Toei Animation   |        8 |
|   1977 | Toei Animation   |        9 |
|   1978 | Toei Animation   |       13 |
|   1979 | Toei Animation   |       12 |
|   1980 | Toei Animation   |       19 |
|   1981 | Toei Animation   |       20 |
|   1982 | Toei Animation   |       18 |
|   1983 | Toei Animation   |       13 |
|   1984 | Toei Animation   |       11 |
|   1985 | Pierrot          |       12 |
|   1986 | Toei Animation   |       18 |
|   1987 | Toei Animation   |       13 |
|   1988 | Toei Animation   |       18 |
|   1989 | Sunrise          |       15 |
|   1990 | Toei Animation   |       17 |
|   1991 | Pierrot          |       12 |
|   1992 | Toei Animation   |       17 |
|   1993 | Toei Animation   |       19 |
|   1994 | Toei Animation   |       17 |
|   1995 | Toei Animation   |       13 |
|   1996 | Toei Animation   |       13 |
|   1997 | Toei Animation   |       13 |
|   1998 | Sunrise          |       15 |
|   1999 | Toei Animation   |       13 |
|   2000 | Toei Animation   |       13 |
|   2001 | Nippon Animation |       15 |
|   2002 | Madhouse         |       20 |
|   2003 | Madhouse         |       18 |
|   2004 | Toei Animation   |       15 |
|   2005 | Toei Animation   |       14 |
|   2006 | Toei Animation   |       28 |
|   2007 | Madhouse         |       21 |
|   2008 | Madhouse         |       18 |
|   2009 | Sunrise          |       21 |
|   2010 | Sunrise          |       24 |
|   2011 | Production I.G   |       26 |
