anime_id,theme_Gag Humor,theme_Mahou Shoujo,studio_Satelight,studio_Studio Deen,theme_Urban Fantasy,season_spring,source_Web manga,studio_Nippon Animation,genre_Fantasy,genre_Supernatural,rating_R+ - Mild Nudity,theme_Military,genre_Horror,theme_Love Polygon,studio_MAPPA,studio_Arms,studio_Bones,studio_Sunrise,rating_PG - Children,studio_ufotable,genre_Drama,theme_Music,theme_Samurai,duration,genre_Action,theme_Harem,genre_Comedy,source_Web novel,genre_Romance,dropped,season_fall,source_Light novel,source_Manga,studio_Bandai Namco Pictures,theme_School,studio_A-1 Pictures,studio_animate Film,source_Game,anime_type_ONA,theme_Team Sports,studio_Pierrot,theme_Parody,studio_Xebec,source_Unknown,source_Visual novel,studio_Production I.G,genre_Suspense,theme_Adult Cast,theme_Super Power,theme_Time Travel,theme_Psychological,studio_Shin-Ei Animation,theme_Detective,anime_type_TV,rating_PG-13 - Teens 13 or older,genre_Adventure,theme_Martial Arts,studio_Wit Studio,theme_Idols (Female),source_Original,anime_type_Special,source_Other,genre_Avant Garde,rating_G - All Ages,season_winter,genre_Sports,studio_Toei Animation,theme_Visual Arts,studio_T-Rex,rating_R - 17+ (violence & profanity),theme_Isekai,theme_Vampire,watching,studio_DLE,anime_type_OVA,genre_Mystery,studio_Gonzo,studio_SILVER LINK.,studio_TMS Entertainment,theme_Mythology,studio_J.C.Staff,studio_Brain's Base,studio_Madhouse,theme_Historical,theme_Workplace,genre_Sci-Fi,theme_Gore,genre_Award Winning,episodes,source_Novel,score
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,24.0,1,0,0,0,0,0.0560824556840802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.2199972777276804,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,26.0,0,8.75
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,115.0,1,0,0,0,0,0.012576669310992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.0749666234545208,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,0,8.38
6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.0,1,0,0,0,0,0.0594877178375671,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1475367801216904,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,26.0,0,8.22
7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,25.0,1,0,0,0,0,0.0940798261967323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0911439601896569,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,26.0,0,7.24
8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,23.0,1,0,0,0,0,0.1698666666666666,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1178666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.0,0,6.92
15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.0,0,0,0,0,0,0.15836356173805,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.1972112216712702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145.0,0,7.91
16,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,23.0,0,0,1,0,1,0.0792072586218427,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0885090398377064,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,24.0,0,7.98
17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.0,0,0,0,0,0,0.1601984564498346,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.1305402425578831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.0,0,7.54
18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,27.0,1,0,0,0,0,0.0463445412358544,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2388667263697793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.0,0,8.17
19,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,24.0,0,0,0,0,0,0.0526053784401266,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2161358443899474,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,74.0,0,8.88
20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.0,1,0,0,0,0,0.2445483260090204,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3869821180756331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220.0,0,8.01
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0,0,0,0,0,0,0.1658240430967217,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.1865707536581976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178.0,0,7.85
