anime_id,"studio_Yamamura Animation, Inc.",source_Light novel,studio_David Production,studio_DOGA Productions,studio_Anon Pictures,genre_Mystery,theme_Mythology,studio_Toei Animation,duration,studio_RAMS,studio_Studio M2,studio_Production I.G,studio_Studio Kingyoiro,studio_Animation 21,episodes,studio_Shuka,studio_K-Factory,studio_LIDENFILMS,studio_Studio! Cucuri,theme_Childcare,studio_RG Animation Studios,season_fall,anime_type_TV,studio_Marine Entertainment,genre_Fantasy,studio_TOHO animation STUDIO,studio_Office Nobu,studio_AIC,theme_Isekai,studio_Neft Film,studio_Kuri Jikken Manga Koubou,studio_G.P Entertainment,studio_Chosen,studio_Ripple Film,theme_Racing,rating_PG-13 - Teens 13 or older,studio_Larx Entertainment,theme_Reincarnation,anime_type_OVA,studio_Tokyo Media Connections,source_Original,studio_TMS Entertainment,studio_Seven,studio_Studio G7,studio_Studio Ghibli,studio_Red Dog Culture House,studio_Bebow,studio_DRAWIZ,studio_Sugar Boy,source_Visual novel,theme_Team Sports,theme_Workplace,studio_Ishikawa Pro,studio_Gathering,studio_drop,dropped,studio_Trigger,genre_Award Winning,theme_Mecha,rating_R - 17+ (violence & profanity),studio_Pie in the sky,studio_Saetta,studio_Dynamic Planning,studio_Nakamura Production,source_Novel,theme_Space,studio_DLE,theme_Idols (Female),studio_Studio Bind,rating_PG - Children,studio_Studio Binzo,genre_Erotica,studio_Idea Factory,theme_Military,source_Web manga,studio_Studio VOLN,studio_MAPPA,studio_Tengu Kobo,watching,studio_White Fox,studio_Kitty Film Mitaka Studio,studio_Brain's Base,studio_8bit,studio_Arms,studio_Shaft,genre_Sci-Fi,rating_R+ - Mild Nudity,studio_Cutie Bee,studio_CloverWorks,studio_Yumeta Company,theme_Love Status Quo,studio_Charaction,studio_Visual Flight,studio_Takun Manga Box,theme_School,studio_Toho Interactive Animation,studio_Studio Deen,theme_Harem,theme_Historical,studio_Public & Basic,studio_Studio Hibari,studio_Kusama Art,studio_Madhouse,studio_EOTA,studio_Sunrise,source_Web novel,theme_Strategy Game,studio_l-a-unch・BOX,studio_AQUA ARIS,studio_Xebec,theme_Iyashikei,theme_Samurai,genre_Romance,studio_AHA Entertainment,theme_Psychological,rating_G - All Ages,theme_Detective,studio_Soeishinsha,source_Game,studio_WAO World,studio_Sharefun Studio,studio_MooGoo,studio_J.C.Staff,studio_Studio Kelmadick,genre_Suspense,studio_Egg Firm,theme_Adult Cast,genre_Supernatural,studio_Mippei Eigeki Kiryuukan,studio_Bouncy,studio_A-1 Pictures,studio_Studio Jin,studio_Shin-Ei Animation,studio_Romanov Films,theme_Anthropomorphic,studio_Studio DURIAN,studio_Saigo no Shudan,theme_Parody,studio_Mad Box,rating_Rx - Hentai,genre_Sports,genre_Adventure,studio_Studio Signpost,theme_Time Travel,genre_Horror,studio_Blue Cat,genre_Gourmet,studio_Pierrot Films,studio_DandeLion Animation Studio,studio_Liberty Animation Studio,studio_Brio Animation,theme_Survival,studio_EOEO System,plan_to_watch,studio_ILCA,source_Manga,studio_Motion Magic,studio_Pierrot,anime_type_Special,genre_Boys Love,studio_ufotable,studio_Agent 21,studio_Shimogumi,studio_General Entertainment,on_hold,source_Unknown,season_summer,anime_type_TV Special,studio_Kigumi,genre_Slice of Life,source_Other,studio_MAT,studio_Indivision,studio_lxtl,theme_Martial Arts,theme_Organized Crime,theme_Super Power,studio_Shenman Entertainment,theme_Urban Fantasy,genre_Comedy,studio_Tatsunoko Production,studio_Alpha Animation,theme_Vampire,studio_Production Wave,theme_Gore,studio_Nippon Ramayana Film Co.,theme_Gag Humor,theme_Love Polygon,studio_Assez Finaud Fabric,studio_YHKT Entertainment,studio_Mirai Film,studio_Studio Elle,studio_P.I.C.S.,studio_Filmlink International,studio_Zexcs,studio_Satelight,genre_Drama,studio_animate Film,studio_Arcturus,studio_Bandai Namco Pictures,season_winter,theme_Music,anime_type_ONA,studio_Kyotoma,studio_Triangle Staff,studio_Sunny Gapen,studio_Graphinica,studio_Wit Studio,studio_KOO-KI,studio_Studio 4°C,theme_Idols (Male),theme_Otaku Culture,studio_AIC Frontier,theme_CGDCT,theme_Mahou Shoujo,theme_Pets,genre_Hentai,season_spring,studio_Samsara Animation Studio,genre_Ecchi,genre_Action,theme_Video Game,studio_Kyoto Animation,studio_Bones,studio_Lerche,anime_type_Movie,studio_Y.O.U.C,studio_SILVER LINK.,genre_Avant Garde,score
1,0,0,0,0,0,0,0,0,24.0,0,0,0,0,0,26.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0560824556840802,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.2199972777276804,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5885090940909676,0,0,0,0,0,0,0,0,0,0,0.1354111724972716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,8.75
5,0,0,0,0,0,0,0,0,115.0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012576669310992,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0749666234545208,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8816051699785229,0,0,0,0,0,0,0,0,0,0,0.0308515372559642,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,8.38
6,0,0,0,0,0,0,0,0,24.0,0,0,0,0,0,26.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0594877178375671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1475367801216904,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.6879368440740037,0,1,0,0,0,0,0,0,0,0,0.1050386579667387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,8.22
7,0,0,0,0,0,1,0,0,25.0,0,0,0,0,0,26.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0940798261967323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0911439601896569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7245130132260763,0,0,0,0,0,0,0,0,0,0,0.0902632003875343,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.24
8,0,0,0,0,0,0,0,1,23.0,0,0,0,0,0,52.0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1698666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1178666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5969333333333333,0,1,0,0,0,0,0,0,0,0,0.1153333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.92
15,0,0,0,0,0,0,0,0,23.0,0,0,0,0,0,145.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.15836356173805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1972112216712702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.4574861060268229,0,1,0,0,0,0,0,0,0,0,0.1869391105638568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.91
16,0,0,0,0,0,0,0,0,23.0,0,0,0,0,0,24.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0792072586218427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0885090398377064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7518726174287179,0,1,0,0,0,0,0,0,0,0,0.0804110841117328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.98
17,0,0,0,0,0,0,0,0,23.0,0,0,0,0,0,52.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.1601984564498346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1305402425578831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5950385887541345,0,1,0,0,0,0,0,0,0,0,0.1142227122381477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.54
18,0,0,0,0,0,0,0,0,27.0,0,0,0,0,0,24.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0463445412358544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2388667263697793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6064682895058211,0,1,0,0,0,0,0,0,0,0,0.1083204428885451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,8.17
19,0,0,0,0,0,1,0,0,24.0,0,0,0,0,0,74.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0526053784401266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2161358443899474,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6166354880630489,0,1,0,0,0,0,0,0,0,0,0.1146232891068771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8.88
